nces_district_id,epa_high_priority,epa_rural_indicator
1200600,Yes,No
1200630,Yes,No
1200660,Yes,No
1200690,Yes,No
1200720,Yes,No
1200750,Yes,No
1200780,Yes,No
1200840,Yes,No
1200900,Yes,No
1200960,Yes,No
1200990,Yes,No
1201020,Yes,Yes
1201140,Yes,No
1201170,Yes,No
1201200,Yes,No
1201410,Yes,No
1201590,Yes,No
1201620,Yes,No
1201800,Yes,No
1201830,Yes,No
1201860,Yes,No
1201890,Yes,No
1202010,Yes,No
1300060,Yes,No
1300090,Yes,Yes
1300120,Yes,No
1300150,Yes,No
1300180,Yes,No
1300210,Yes,No
1300360,Yes,No
1300390,Yes,No
1300420,Yes,No
1300440,Yes,No
1300480,Yes,No
1300540,Yes,No
1300630,Yes,No
1300660,Yes,No
1300750,Yes,Yes
1300810,Yes,No
1300870,Yes,No
1300990,Yes,No
1301050,Yes,No
1301080,Yes,No
1301170,Yes,No
1301200,Yes,Yes
1301230,Yes,No
1301260,Yes,No
1301350,Yes,No
1301380,Yes,No
1301440,Yes,No
1301470,Yes,No
1301530,Yes,No
1301560,Yes,No
1301710,Yes,No
1301740,Yes,No
1301770,Yes,No
1301800,Yes,No
1301830,Yes,No
1301870,Yes,No
1301920,Yes,No
1301950,Yes,No
1302010,Yes,No
1302040,Yes,No
1302070,Yes,No
1302100,Yes,No
1302250,Yes,No
1302340,Yes,No
1302370,No,Yes
1302400,Yes,No
1302460,Yes,No
1302490,Yes,No
1302520,Yes,No
1302640,Yes,No
1302670,Yes,No
1302730,Yes,No
1302790,Yes,No
1302910,Yes,No
1303000,Yes,No
1303060,Yes,No
1303090,Yes,No
1303120,Yes,No
1303210,Yes,No
1303240,Yes,No
1301890,Yes,No
1303300,Yes,No
1303330,Yes,No
1303360,Yes,No
1303390,Yes,No
1303450,Yes,No
1303480,Yes,No
1303540,Yes,No
1303570,Yes,No
1303600,Yes,No
1303630,Yes,No
1303660,Yes,Yes
1303690,Yes,No
1303750,Yes,No
1303840,Yes,No
1303870,Yes,No
1303930,Yes,No
1304050,Yes,No
1304080,Yes,No
1304140,Yes,No
1304200,Yes,No
1304220,Yes,No
1304260,Yes,No
1304290,Yes,No
1304320,Yes,No
1304350,Yes,No
1304380,Yes,No
1304440,Yes,No
1301020,Yes,No
1304470,Yes,No
1304500,Yes,No
1304530,Yes,No
1300218,Not in SIAPE,Yes
1304560,Yes,No
1304590,Yes,No
1304620,Yes,No
1304650,Yes,No
1304680,Yes,Yes
